prompt,response
What is the term of office of President?,The President shall hold office for a term of five years from the date on which he enters upon his office.
Will there be any situation in which the President demits office before the five year term?,Yes. There will be two such situations. The first is when the President resigns his office by writing under his hand addressed to the Vice-President and the second when the President is removed from office by impeachment for violation of the constitution.
What is the procedure for impeachment of the President?,"According to Article 61 of the Constitution, when a President is to be impeached for violation of the Constitution, the charge shall be preferred by either House of Parliament. No such change shall be preferred unless (a) the proposal to prefer such change is contained in a resolution which has been moved after at least fourteen days' notice in writing signed by not less than one-fourth of the total number of members of the House has been given of their intention to move the resolution, and (b) such resolution has been passed by a majority of not less than two-third of the total membership of the House."
Is the President eligible for election for a second term?,"Yes. According to Article 57 of the Constitution, a President is eligible for re-election to that office."
What are the qualifications for election as President?,"According to Article 58 of the Constitution, no person shall be eligible for election as President unless he is a citizen of India, has completed the age of thirty-five years and is qualified for election as a member of the House of the People. A person shall not be eligible if he holds any office of profit under the Government of India or the Government of any State or under any local or other authority subject to the control of any of the said Government."
Can a Member of Parliament or the State Legislature become the President?,The President shall nor be a member of either House of Parliament or of a House of the Legislature of any state and if any such member is elected President he shall be claimed to have vacated his seat in that House on the date on which he enters upon office as President.
Who elects the Vice-President of India?,The Vice-President is elected by the members of an electoral college consisting of the members of both House of Parliament.
What is the manner of election of Vice-President?,The election is in accordance with the system of proportional representation by means of the single transferred vote and the voting is by secret ballot.
What is the term of office of Vice-President?,The Vice-President shall hold office for a term of five years from the date on which he enters upon his office.
Will there be any situation in which the Vice-President demits office before the five-year term?,Yes. There will be two such situations. The first is when the Vice-President resigns his office by writing under his hand addressed to the President and the second when he is removed from office.
What is the procedure for removal of the Vice-President?,The Vice-President may be removed from his office by a resolution of the Council of States by a majority of all the members of the Council and agreed to by the House of the People. No such resolution shall be moved unless at least fourteen days' notice has been given of the intention to move the resolution.
What are the qualifications for election as Vice-President?,"According to Article 66 of the constitution, no person shall be eligible for election as Vice-President unless he is a citizen of India, has completed the age of thirty-five years and is qualified for election as a member of the Council of States. A person shall not be eligible if he holds any office of profit under any local or other authority subject to the control of any of the said Governments."
Is there any provision for challenging the election of President or Vice-President?,"Yes. According to Article 71 of the Constitution, all doubts and disputes arising out of or in connection with the election of a President or Vice-President shall be inquired into and decided by the Supreme Court. Further, according to section 14 of the Presidential and Vice-Presidential Elections Act, 1952, an election petition can be filed before the Supreme Court."
What can be the maximum number of members of Rajya Sabha?,The maximum number of members of Rajya Sabha can be 250. Article 80 of the Constitution of India provides that 12 members are to be nominated by the President of India and not more than 238 representatives from the States to be elected by the elected members of the State Legislative Assemblies in accordance with the system of proportional representation by means of the single transferable vote.
Are they all elected?,"No. All of them are not elected. As mentioned above, 12 are nominated and 238 are to be elected."
What is the present strength of Rajya Sabha?,245 Members. 12 are nominated and 233 are elected.
What is the life of Rajya Sabha?,"Rajya Sabha is a Permanent House and is not subject to dissolution as per Article 83 (1) of the Constitution of India. But as nearly as possible, one third of its members shall retire every 2nd year and an equal number of members are chosen to replace them."
Who elects the members of the Rajya Sabha?,Elected members of the State Legislative Assemblies. Article 80(4) of Constitution of India provides that members of Rajya Sabha shall be elected by the elected members of State Legislative Assemblies through the system of proportional representation by means of the single transferable vote.
Who nominates the members of the Rajya Sabha?,The President of India nominates 12 members of Rajya Sabha as mentioned earlier.
Is there any special qualification for nomination?,"Yes. Article 80 (3) of the Constitution of India provides that the members to be nominated by the President to Rajya Sabha should have special knowledge or practical experience in matters like literature, science, art and social service. Article 84 (b) stipulates that a person shall be of not less than 30 (Thirty) years of age."
What is the term of Lok Sabha?,"Normal Term : 5 years. Article 83 (2) of the Constitution stipulates that Lok Sabha shall have a normal term of 5 years from the date appointed for its first meeting and no longer. However, the President may dissolve the House earlier."
What can be the maximum number of members of the Lok Sabha?,"The maximum number of elected members of Lok Sabha is 550. Article 81 of the Constitution provides that not more than 530 members will be elected from the States and not more than 20 members from Union Territories. Article 331 of the Constitution provides that not more than 2 members from the Anglo Indian Community may be nominated by the President of India, if in his opinion that community is not adequately represented in that House."
How are the members of Lok Sabha elected?,"Under Sec 14 of Representation of People Act 1951, the President of India by a notification will call upon the constituencies to elect their members to the House of People. Thereafter the electors of the Parliamentary Constituencies will directly elect the Lok Sabha members. As per article 326 of the Constitution of India, elections to the House of the People shall be on the basis of adult suffrage."
How many members are elected by the electors of a Parliamentary Constituency?,Each Parliamentary Constituency will elect only one member.
Was this the position from the very beginning?,"No. Prior to 1962, there were both single - member and multi member constituencies. These multi - member constituencies used to elect more than one member. The multimember constituencies were abolished in 1962."
When was the 1st general election held in India?,The first general election was held in India during 1951 - 1952.
"At that time, what was the total strength of the Lok Sabha?",The total strength of Lok Sabha at that time was 489.
There are 543 Parliamentary constituencies in India each electing one member. Who demarcates the boundaries of these constituencies?,"Delimitation Commission. Under Article 82 of the Constitution, the Parliament by law enacts a Delimitation Act after every census. After coming into force commencement of the Act, the Central Government constitutes a Delimitation Commission. This Delimitation Commission demarcates the boundaries of the Parliamentary Constituencies as per provisions of the Delimitation Act. The present delimitation of constituencies has been done on the basis of 2001 census figures under the provisions of Delimitation Act, 2002. Notwithstanding the above, the Constitution of India was specifically amended in 2002 not to have delimitation of constituencies till the first census after 2026. Thus, the present Constituencies carved out on the basis of 2001 census shall continue to be in operation till the first census after 2026."
What is the main basis for allocation of seats to various States in the Lok Sabha?,"Population is the basis of allocation of seats of the Lok Sabha. As far as possible, every State gets representation in the Lok Sabha in proportion to its population as per census figures."
Is there any reservation of seats for any special category in Lok Sabha?,Yes. In Lok Sabha there is reservation of seats for Scheduled Castes and Scheduled Tribes. Here also census figures are taken into account.
On what basis is this reservation made?,"Allocation of seats for Scheduled Castes and Tribes in the Lok Sabha are made on the basis of proportion of Scheduled Castes and Tribes in the State concerned to that of the total population, vide provision contained in Article 330 of the Constitution of India read with Section 3 of the R. P. Act, 1950"
How many seats are reserved for Scheduled Castes in Lok Sabha?,"84. For Scheduled Castes, 84 seats are reserved in Lok Sabha. The 1st schedule to Representation of People Act, 1950 as amended vide Representation of People (Amendment) Act , 2008 gives the Statewise breakup."
How many seats are reserved for Scheduled Tribes in Lok Sabha?,"47. For Scheduled Tribes, 47 seats are reserved in Lok Sabha. The 1st schedule to R. P. Act, 1950  as amended vide Representation of People (Amendment) Act , 2008 gives the Statewise break up."
Which are the States having the minimum number of seats in Lok Sabha?,"The following States and Union Territories have one seat each in the Lok Sabha
Mizoram
Nagaland
Sikkim
Andaman and Nicobar Islands
Chandigarh
Dadra and Nagar Haveli
Daman and Diu
Lakshadweep
Pondicherry"
How many States are there in India?,"There are 29 states in India viz. Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chhattisgarh, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Orissa, Punjab, Rajasthan, Sikkim, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttaranchal and West Bengal."
How many Union Territories are in India?,"There are 7 Union Territories in India. Andaman and Nicobar Islands, Chandigarh, Dadra and Nagar Haveli, Daman and Diu, Delhi, Lakshadweep and Pondicherry."
"For every State, there has to be a Legislative Assembly, but it is not so in the case of all Union Territories. Which are the U.Ts. having a Legislative Assembly?","Two. Out of the 7 Union Territories, only Delhi and Pondicherry have Legislative Assemblies."
Can a non-citizen be a candidate?,No. A non citizen cannot be a contesting candidate in the elections. Article 84 (a) of the Constitution of India envisages that a person shall not be qualified to be chosen to fill up a seat in the Parliament unless he is a citizen of India. Similar provision exists for State Legislative Assemblies in Article 173 (a) of the Constitution.
What is the minimum age for becoming a candidate for Lok Sabha or Assembly election?,"25 years. Article 84 (b) of Constitution of India provides that the minimum age for becoming a candidate for Lok Sabha election shall be 25 years. Similar provision exists for a candidate to the Legislative Assemblies vide Article 173 (b) of the Constitution read with Sec. 36 (2) of the R. P. Act, 1950."
"If I am not registered as a voter in any Constituency, can I contest election?","No. For contesting an election as a candidate a person must be registered as a voter. Sec 4 (d) of Representation People Act, 1951 precludes a person from contesting unless he is an elector in any parliamentary constituency. Section 5 (c) of R. P. Act, 1951 has a similar provision for Assembly Constituencies."
"I am registered as a voter in Delhi. Can I contest election to Lok Sabha from Haryana or Maharashtra, or Orissa?","Yes. If you are a registered voter in Delhi, you can contest an election to Lok Sabha from any constituency in the country except Assam, Lakshadweep and Sikkim, as per Section 4 (c), 4 (cc) and 4 (ccc) of the R. P. Act, 1951."
"If some body is convicted for some offence and he is sentenced to imprisonment for 3 years, can he contest elections?","No. As per Section 8 (3) of R. P. Act, 1951, if a person is convicted of any offence and sentenced to an imprisonment of 2 years or more, this will be disqualification to contest elections."
"Supposing he is on bail, pending disposal of his appeal, can he contest the election?","No. Even if is a person is on bail, after the conviction and his appeal is pending for disposal, he is disqualified from contesting an election as per the guidelines issued by the Election Commission of India."
Can a person confined in jail vote in an election?,"No. According to section 62(5) of the Representation of the People Act, 1951, no person shall vote at any election if he is confined in a prison, whether under a sentence of imprisonment or transportation or otherwise, or is in the lawful custody of the police."
Every candidate is required to make security deposit. How much is the security deposit for Lok Sabha election?,"As per Section 34 1 (a) of R. P. Act, 1951, every candidate is required to make a security deposit of Rs. 25,000/- (Rupees Twenty five Thousand Only) for Lok Sabha elections."
Is there any concession for a candidate belonging to Scheduled Caste or Scheduled Tribe?,"Yes. The same section 34 of R. P. Act, 1951 provides that a candidate belonging to Scheduled Caste and Scheduled Tribe is required to make a security deposit of Rs. 12,500 (Rupees Twelve Thousand five hundred Only)."
How much is the security deposit for an Assembly election?,"As per Sec. 34 (1) (b) of the R. P. Act 1951, a general candidate for contesting an Assembly election will have to make a security deposit of Rs. 10,000/-. A candidate belonging to Scheduled Caste / Tribe will have to make a security deposit of Rs. 5,000/- (Five Thousand Only)."
How much was the security deposit for Lok Sabha election previously?,"During the Lok Sabha elections held in 1996 and earlier, the security deposit for general and SC / ST candidate was Rs. 500/- (Rupees Five Hundred Only) and Rs. 250/- (Rupees Two Hundred and Fifty Only) respectively."
How much was the security deposit for elections to Assembly election previously?,"During Assembly elections held in 1996 and earlier, the security deposit for general and SC / ST candidates was Rs. 250/- (Rupees Two Hundred and Fifty Only) and Rs. 125/- (Rupees One Hundred Twenty Five Only) respectively."
When was this change in the amount of security deposit made?,This change in increasing the security deposit was brought about w.e.f 1-2-2010 vide Act 41 of 2009.
"If you are a candidate of a recognised National or State party, how many proposers you require for your nomination?","Only one. If you are a candidate of a recognised national / state party, you would require only one elector of the constituency as proposer, vide Sec. 33 of R. P. Act, 1951."
"If you are an independent candidate or a candidate of unrecognised political party, how many proposers you require?","Ten. The same section 33 of R. P. Act, 1951 provides that as an independent candidate or a candidate of an unrecognised political party, ten electors from the constituency should subscribe your nomination paper as proposers."
Can a person contest elections to Lok Sabha/Vidhan Sabha from as many constituencies as he likes?,"No. As per Section 33 (7) of R. P. Act, 1951, a person cannot contest from more than two constituencies for a Lok Sabha/Vidhan Sabha election."
Which candidates lose the deposit?,3354. A defeated candidate who fails to secure more than one sixth of the valid votes polled in the constituency will lose his security deposit.
What has been the maximum number of candidates in any constituency in India at any election so far?,In Modakurichi Assembly Constituency of Tamil Nadu there were 1033 contesting candidates during the general election to Tamil Nadu Legislative Assembly in 1996. The ballot papers were in the form of a booklet.
The Election Commission has recognised some political parties as National parties and some others as State Parties. How many are National and how many are State parties ?,The Election Commission had recognized 6 Political Parties as National Parties and 36 Political Parties as State Parties in different States at the time of General Elections in 2004.
"On the day of poll, every voter has to go to a polling station to vote. Normally, how many voters are assigned to a polling station, under the norms of the Election Commission?","As per the instructions of Election Commission as contained in Para 2 of Chapter II of Handbook for Returning Officers, a polling station should be provided for a well defined polling area, normally covering about 800 - 1000 electors. However, in exceptional cases, such number may exceed 1000 to avoid the breakup of any polling area in large villages or urban area. When the number exceeds 1200, auxiliary polling stations should be set up. There is provision for setting up of polling stations in localities inhabited by the weaker section of the society, even though the number may be less than 500. If there is a Leprosy Sanatorium a separate polling station may be set up for the inmates alone. Recently the Commission has issued instructions for Rationalisation of Polling Stations in the country, and the limit of electors has been increased to 1500 per polling station, as Electronic Voting Machines are being used now."
"Normally, under the Commission’s norms, how far can a polling station be from your house?","According to Para 3 of Chapter II of Handbook for Returning Officers, polling stations should be set up in such a manner that ordinarily no voter is required to travel more than two kms to reach his polling station."
"When you are walking down to your polling station, some candidate or his agent offers you a free lift to the polling station. Can you accept that offer of lift?","No. It is a corrupt practice under section 123 (5) of the R. P. Act, 1951. This offence is punishable under Section 133 of the same Act, with imprisonment which may extend upto 3 months and/or with fine."
Can you accept such lift when you are going back to your house after you have cast your vote?,"No. The provision of Corrupt Practice under section 123 (5) as mentioned above will cover conveyance of any elector, to or from any polling station."
Somebody offers you some money to vote for a candidate. Can you accept such money?,"No. Acceptance of money to vote for a candidate is a corrupt practice of bribery under Section 123 (1) of R. P. Act, 1951. It is also an offence under section 171-B of Indian Penal Code and is punishable with imprisonment of either description for a term which may extend to one year or with fine or both."
"Somebody offers you some money, not to vote for a certain candidate. Can you accept such money?","No. The corrupt practice of bribery will also be attracted, if a person accepts money not to vote for a particular candidate."
"Somebody makes any offer of whisky, liquor or other intoxicant or gives you a dinner to vote for a particular candidate or not to vote for him. Can you accept such offer?",No. Acceptance of any offer of liquor or other intoxicants or a dinner to vote for a particular candidate or not to vote for him is bribery.
"Can any religious or spiritual leader instruct his followers to vote for a particular candidate, otherwise they will become object of Divine displeasure?","No. If any person induces or attempts to induce the voter to vote for any particular candidate or otherwise he will become an object of Divine displeasure, he will be guilty of the corrupt practice of exercising undue influence on a voter under sec 123 (2) of R. P. Act, 1951.

It is also an offence under section 171C of Indian Penal Code and punishable with imprisonment of either description for a term which may extend to one year or with fine or both."
Can any one threaten a voter that he would be excommunicated if he votes for a particular candidate or does not vote for another particular candidate?,"No. Any threat to a voter that he would be excommunicated if he votes for a particular candidate or does not vote for another particular candidate is a corrupt practice of undue influence under Section 123 (2) of R. P. Act, 1951. It is also punishable under sec 171 F of Indian Penal Code with imprisonment of either description for a term which may extend to one year or with fine or with both."
"Can anyone tell another person that he should vote for a particular person, or not to vote for him, because the candidate belongs to a particular religion, caste or creed or speaks a particular language?","No. Any one telling another person that he should vote for a particular candidate or not to vote for him because he belongs to a particular religion, caste or creed or speaks a particular language is a corrupt practice under section 123 (3) of R. P. Act, 1951."
Is a candidate free to spend as much as he likes on his election?,"No. A candidate is not free to spend as much as he likes on his election. The law prescribes that the total election expenditure shall not exceed the maximum limit prescribed under Rule 90 of the Conduct of Election Rules, 1961. It would also amount to a corrupt practice under sec 123 (6) of R. P. Act, 1951."
"What is the limit for election expenditure in a parliamentary constituency in bigger States, like, UP, Bihar, Andhra Pradesh, M.P?","The limit for election expenditure is revised from time to time. At present the limit of expenditure for a parliamentary constituency in bigger states like U. P, Bihar, Andhra Pradesh, Madhya Pradesh is Rs. 40 lakhs."
What is the limit of such expenditure for an assembly constituency in these bigger States?,The limit of election expenditure for an assembly constituency in the above bigger states is Rs. 16 lakhs.
What was the limit for the Parliamentary and Assembly constituencies in the above States at the time of the last general election in 2009?,The limit of election expenses in the above bigger states at the time of 2009 general election was Rs. 25 lakhs for a Parliamentary constituency and Rs. 10 lakhs for an assembly constituency.
"Are these limits uniform for all States? If not ,What is the lowest limit for a parliamentary constituency at present?","No. The maximum limits of election expenditure vary from State to State. The lowest limit at present for a parliamentary constituency is Rs. 16 lakhs for the constituency of Dadra and Nagar Haveli, Daman and Diu and Lakshadweep. The lowest limit for assembly constituency is Rs. 8 lakh in Goa, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura and Puducherry"
Are the candidates required to file any account of election expenses?,"Under section 77 of the R.P.Act, 1951, every candidate at an election to the House of the People or State Legislative Assembly is required to keep, either by himself or by his election agent, a separate and correct account of all expenditure in connection with the selection incurred or authorised by him or his election agent between the date on which he has been nominated and the date of declaration of result, both dates inclusive. Every contesting candidate has to lodge a true copy of the said account within 30 days of result of the election."
Who is the authority to whom such account is to be lodged?,"In every state the account of election expenses shall be lodged by a contesting candidate with the District Election Officer of the district in which the constituency from which he contested lies. In the case of Union Territories, such accounts are to be lodged with the Returning Officer Concerned."
"If a Candidate is contesting from more than one constituency, is he required to file separate accounts or only one consolidated account?","If a candidate is contesting from more than one constituency, he has to lodge a separate return of election expenses for every election which he has contested. The election for each constituency is a separate election."
What is the penalty if a candidate does not file his account of election expenses?,"Under section 10A of the RP Act, 1951, if the Election Commission is satisfied that a person has failed to lodge an account of election expenses with the time and in the manner required by or under that Act and he has no good reason or justification for the failure, it has the power to disqualify him for a period of 3 years for being chosen as, and for being, a member of either House of Parliament or the Legislative Assembly or Legislative Council of a State."
What is the deadline after which no public meetings and processions can be taken out?,"As per Sec. 126 of R. P. Act, 1951, no public meetings and processions can be taken out during the period of 48 hours ending with the hour fixed for the conclusion of poll."
"On the day of poll, can any one vote in the name of another person, even with his consent?",No. On the day of poll no one can vote in the name of another even with his consent. If he does so it would amount to impersonation which is an offence under Section 171 D of Indian Penal Code. The offence is punishable with imprisonment of either description which may extend to one year or with fine or both.
"Can any one vote more than once, even if his name is included (wrongly) at more than one place?",No. No one can vote more than once even if his name is included at more than one place. If he does so he will be guilty of impersonation which will be punishable as above.
"If you go to your polling station and find that some body else has impersonated for you and already voted in your name, can you vote in such circumstance?","Yes. If a person finds that someone else has already voted in his name, then also he will be allowed to vote. But his ballot paper will be marked as a Tendered Ballot Paper by the Presiding Officer. This will be kept separately in the prescribed cover, as per Rule 42 of the Conduct of Elections Rules, 1961."
Who is an overseas (NRI) elector? Can an NRI settled in foreign land become an elector of electoral roll in India?,"An overseas elector is a person who is a citizen of India and who has not acquired citizenship of any other country and is otherwise eligible to be registered as a voter and who is absenting from his place of ordinary residence in India owing to his employment, education or otherwise is eligible to be registered as a voter in the constituency in which his place of residence in India as mentioned in his passport is located. According to the provisions of Section 20A of the Representation of People Act, 1950, an NRI settled in foreign land can become an elector in electoral roll in India."
Who is eligible to be registered as a voter?,"Every Indian citizen who has attained the age of 18 years on the qualifying date i.e. first day of January of the year of revision of electoral roll, unless otherwise disqualified, is eligible to be registered as a voter in the roll of the part/polling area of the constituency where he is ordinarily resident."
What is the relevant date for determining the age of 18 years? Can I get myself registered as a voter on the day when I have completed 18 years of age?,"According to Section 14 (b) of the Representation of People Act, 1950 the relevant date (qualifying date) for determining the age of an applicant is the first day of January of the year in which the electoral roll is finally published. For example, if you have completed or are completing 18 years of age on any date from and after 2nd January 2013 but upto to 1st January 2014, you will be eligible for registration as a voter in the elector roll going to be finally published in January, 2014."
Can a non-citizen of India become a voter in the electoral rolls in India?,No. A person who is not a citizen of India is not eligible for registration as a voter in the electoral rolls in India. Even those who have ceased to be citizens of India on acquiring the citizenship of another country are not eligible to be enrolled in the electoral rolls in India.
How can an overseas Indian (NRI) get registered / enrolled in the electoral roll?,"He/she has to file an application for the purpose in prescribed Form 6A before the Electoral Registration Officer / Assistant Electoral Registration Officer of the constituency within which the place of ordinary residence of the applicant in India as given in his/her passport falls. The application accompanied by duly self attested copy of the relevant documents can be filed in person before the concerned Electoral Registration Officer / Assistant Electoral Registration Officer or sent by post addressed to him or can be filed online on website of Chief Electoral Officer of the concerned state or website of Election Commission of India. While filing Form 6A on line, the copy of the passport and copies of other necessary documents like visa should also be uploaded."
What does a ‘passport’ mean in above question?,"‘Passport’ means a passport issued by the Indian Government, in which visa endorsement has been made. It doesn’t mean necessarily the current passport, since in many cases the current passport may not contain details of the address in India, mentioned in the original passport but may contain the address in foreign land."
From where Form 6A can be obtained ?,"It can be downloaded from the website of Chief Electoral Officer of the concerned state or website of Election Commission of India. Form 6A is also available free of cost in Indian Missions in foreign countries. Besides, Booth Level Officers in every polling station area in India have been asked to distribute blank Form 6A to families of overseas Indians in India to send the same to persons living abroad."
What documents are required to be enclosed with Form 6A?,"One recent passport size coloured photograph, duly affixed in Form 6A, photo- copies of the relevant pages of the passport containing photograph, his address in India and all other particulars of the applicant and also the page of passport containing the valid visa endorsement."
What other formalities are required to be fulfilled at the time of filing claim application?,"If the application is sent by post, the photo-copy of each of the documents referred to in the answer to Question No. 8 above, should be duly self attested. If the application is submitted in person before the Electoral Registration Officer / Assistant Electoral Registration Officer, the original passport should be produced for verification."
Who is competent to verify claim applications and objections?,The Electoral Registration Officer / Assistant Electoral Registration Officer of the concerned constituency.
From where the postal address of the Electoral Registration Officers can be obtained ?,Postal addresses of all Electoral Registration Officers are available on the website of Election Commission of India / Chief Electoral Officers of respective State / Union Territory (link to which has been provided on the Election Commission of India website). They can also be obtained from Indian Missions in Foreign countries.
"If I apply on line, whether I need to send by post to the Electoral Registration Officers address, signed copy of the Form 6A along with required documents.","Yes, it is necessary to send signed copy of Form 6A and self attested copies of requisite documents mentioned in answer to Question No. 8 above."
Where will be the notice of hearing sent by Electoral Registration Officer?,"The Electoral Registration Officer will send notice at the address of applicant in the country of his current residence, as informed by him and it will be considered as due service of notice to the applicant."
"Is personal appearance of applicant or hearing parties necessary? If yes, how will the hearing be conducted?","Personal appearance or hearing is not necessary in each case. On receipt of Form 6A, the Electoral Registration Officer shall display a copy of the said Form on his notice board inviting objections, if any, within 7 days time. The Electoral Registration Officer may also ask the concerned Booth Level Officer to verify with the family members / relatives or the neighbours, if any, the information provided by the applicant.
If Form 6A is complete in all respects and copies of all relevant documents enclosed and no person has objected within 7 days stipulated time, the Electoral Registration Officer can order inclusion of name in the electoral roll.
In case there is an objection to the claim in Form 6A for inclusion of name, the Electoral Registration Officer shall designate and authorize an officer from the Indian Mission at that particular country to which the applicant belongs, to hear the applicant for the objection raised. If the objector is also available there then both the parties are heard. Such designated officer of the Indian mission will send a report to the Electoral Registration Officer to enable him to take decision in the case. In no case, the personal appearance of the applicant/objector living abroad shall be required by the ERO in India."
Where can be the list of claims and objections seen?,It can be seen on the website of the Chief Electoral Officer of the State concerned. It can also be seen on the notice board at the office of the Electoral Registration Officer.
What is the procedure of verification of self attested documents submitted by an overseas Indian (NRI) alongwith his application in Form 6A ?,"As soon as Electoral Registration Officer receives Form 6A alongwith copies of self attested documents, he will send Booth Level Officer of the concerned polling area for field verification. Booth Level Officer will visit the home address mentioned in the passport of the applicant. He will enquire from the relations of the applicant, if any, to verify the self attested copies of documents and give a declaration to the effect. In those cases where no relative is available or no relative is willing to give declaration for verification of documents, or Electoral Registration Officer is not satisfied with verification of documents by the relatives, the documents will be sent for verification to the concerned Indian Mission in the country where the applicant resides. The officer in Indian Mission authorized to verify the claims application will take further necessary action as mentioned in answer to Question No. 14 above."
How will an overseas Indian (NRI) know that his/her name is included in the electoral roll?,The decision of the Electoral Registration Officer will be communicated to the applicant by post on his address in the foreign country given by him in Form 6A and also by SMS on the mobile number given by him in Form 6A. Electoral rolls are also available on the website of the Chief Electoral Officer of the State concerned and can be seen by anybody.
Where the entries pertaining to overseas (NRI) elector find place in the electoral roll?,Name of overseas elector is included in a separate section for “Overseas Electors” which is the last section of the roll of that particular part / polling station area of the constituency in which his place of residence in India as mentioned in his passport is located.
How can corrections be made if there are some mistakes in the entries in the electoral roll pertaining to overseas (NRI) electors?,"For correction of mistakes in electoral rolls, an application in Form-8 is to be submitted to the Electoral Registration Officer concerned."
Who can object to the inclusion of names in electoral rolls?,Any person who is a voter in the concerned constituency may object to the inclusion of names in electoral roll on the ground that the person whose names is included or is proposed to be included is not eligible to be registered as a voter in that constituency. An objection can be made in Form 7 to the concerned Electoral Registration Officer / Assistant Electoral Registration Officer along with the relevant proof.
Whether Electoral Registration Officer is to be informed of the change in current residential address of the overseas (NRI) electors in the country of his/her residence?,Yes. It is the responsibility of the overseas elector to keep the Electoral Registration Officer informed of the change in residential address in the country of his/her residence.
Whether Electoral Registration Officer is to be informed when the overseas (NRI) elector returns to India and becomes ordinarily resident in India?,"Yes. An overseas elector must do so. In such a case, the person can then be registered as a general elector at the place where he is ordinarily resident in India."
How can an overseas (NRI) elector whose name is enrolled in the electoral roll exercise his/her franchise?,"After enrolment, an overseas (NRI) elector will be able to cast his vote in an election in the Constituency, in person, at the polling station provided for the part where he is registered as an overseas (NRI) elector."
Is an overseas (NRI) elector issued an EPIC ?,"An overseas (NRI) elector is not issued an EPIC as he is allowed to cast his vote in an election in the constituency, in person at the polling station on production of his original passport."
"Whether the overseas (NRI) elector should surrender EPIC, if already issued to him, in India ?","Yes, the overseas elector should surrender EPIC, if already issued to him, in India, alongwith submission of Form 6 A."
When can one get registered in electoral roll? Is enrollment is on throughout the year ?,"The Election Commission normally orders revision of existing electoral roll every year, sometime in the months of September to October and such revised rolls are finally published in first week of January of the coming year. One can submit claim application
 
(Form 6A) during period for lodging claims and objections to Electoral Registration Officer / Assistant Electoral Registration Officer or Designated Officer. Even after final publication, the rolls are updated continuously and one can get registered anytime during the continuous updation by filing a claim application to Electoral Registration Officer / Assistant Electoral Registration Officer."
Can one be enrolled at more than one place?,"No. A person cannot be enrolled as a voter at more than one place in view of the provisions contained under Sections 17 and 18 of Representation of People Act, 1950. Likewise, no person can be enrolled as an elector more than once in any electoral roll. Any person while applying for fresh enrolment, makes a statement or declaration whether his / her name is already included in the electoral roll of any other constituency, and if such statement/declaration is false and which the applicant either knows or believes to be false or does not believe to be true, he is liable to be punished under section 31 of the Representation of the People Act, 1950."
"If I have a complaint against the order of Electoral Registration Officer, to whom I should make an appeal.","During the period of revision, you can file an appeal to the District Election Officer. In the case of application during the process of continuous updation, such appeal against any order of Electoral Registration Officer will lie before the District Magistrate / Additional District Magistrate / Executive Magistrate / District Collector of the District concerned. A further appeal against the order of Appellate Authority will lie before the Chief Electoral Officer of the State."
Whether there is any minimum period for which one should be out of country so as to apply for registration as overseas elector?,No such period is prescribed.
Who elects the President of India?,"The President is elected by an Electoral College, which consists of the elected members of both Houses of Parliament and the elected members of the Legislative Assemblies of all the States and also of NCT of Delhi and the Union Territory of Puducherry. [Article 54 of the Constitution of India]"
What is the term of the office of the President?,"The President shall hold office for a term of 5 years from the date on which he enters upon his office. He shall, however, continue to hold office notwithstanding the expiry of his term, until his successor enters upon his office. [Article 56 of the Constitution of India]"
When is the election of the Office of President of India held?,"Under the provisions of sub-section (3) of Section 4 of the Presidential and Vice-Presidential Elections Act, 1952, the notification calling the election to the office of the President can be issued by the Election Commission on any day within the period of sixty days before the expiry of the term of office of the outgoing President."
Who conducts the election to the Office of President of India?,"Under Article 324 of the Constitution of India, the authority to conduct elections to the Office of President is vested in the Election Commission of India."
What electoral system/process is followed for the election to the office of the President?,"As per Article 55(3) of the Constitution of India, the election of the President shall be held in accordance with the system of proportional representation by means of single transferable vote, and the voting at such election shall be by secret ballot."
What are the qualifications required by a candidate to contest the election to the Office of the President of India?,"A candidate should fulfill the following eligibility conditions under Article 58: 1. Must be a citizen of India, 2. Must have completed 35 years of age, 3. Must be eligible to be a member of the Lok Sabha, 4. Should not be holding any office of profit under the Government of India or the Government of any State or under any local or other authority subject to the control of any of the said Governments."
"Apart from the above, what are the conditions to be fulfilled by a candidate for his nomination to be valid?","A nomination paper must be made in the prescribed form, subscribed by at least fifty electors as proposers and at least fifty electors as seconders. The candidate should deposit a security deposit of Rs. 15,000 and provide a certified copy of the entry showing his name in the current electoral roll."
Who is appointed the Returning Officer/Assistant Returning Officer for the election to the Office of President of India?,"By convention, the Secretary General, Lok Sabha or the Secretary General, Rajya Sabha is appointed as the Returning Officer, by rotation. The Election Commission of India makes such appointments."
Can a candidate submit more than one nomination paper? What would be the security deposit to be made by such candidate?,"Yes. A candidate can file a maximum of four nomination papers. However, he is required to make only one security deposit."
Can an elector propose or second the nomination of more than one candidate at a Presidential election?,No. An elector can propose or second the name of only one candidate at a Presidential election.
